Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
FluospheresBeadsRobot_Experiment_Group_A1	120485	3.3	Flow Rate, Flow Signal and Flow Margin	0.28	0	3.03
FluospheresBeadsRobot_Experiment_Group_A2	33290	2.7	Flow Rate, Flow Signal and Flow Margin	1.42	0	1.29
FluospheresBeadsRobot_Experiment_Group_A3	9492	2.08	Flow Rate, Flow Signal and Flow Margin	1.42	0	0.66
FluospheresBeadsRobot_Experiment_Group_A4	4844	1.9	Flow Rate, Flow Signal and Flow Margin	1.36	0	0.54
FluospheresBeadsRobot_Experiment_Group_B1	120918	3.14	Flow Rate, Flow Signal and Flow Margin	0.06	0	3.08
FluospheresBeadsRobot_Experiment_Group_B2	32209	1.45	Flow Rate, Flow Signal and Flow Margin	0.4	0	1.06
FluospheresBeadsRobot_Experiment_Group_B3	11518	3.59	Flow Rate, Flow Signal and Flow Margin	3	0	0.62
FluospheresBeadsRobot_Experiment_Group_B4	5648	3.01	Flow Rate, Flow Signal and Flow Margin	2.51	0	0.5
FluospheresBeadsRobot_Experiment_Group_C1	120587	3.07	Flow Rate, Flow Signal and Flow Margin	0	0	3.07
FluospheresBeadsRobot_Experiment_Group_C2	32870	4.39	Flow Rate, Flow Signal and Flow Margin	3.5	0	0.98
FluospheresBeadsRobot_Experiment_Group_C3	10476	2.16	Flow Rate, Flow Signal and Flow Margin	1.52	0	0.68
FluospheresBeadsRobot_Experiment_Group_C4	2845	8.47	Flow Rate, Flow Signal and Flow Margin	7.91	0	0.6
FluospheresBeadsRobot_Experiment_Group_D1	90269	2.18	Flow Rate, Flow Signal and Flow Margin	0.05	0	2.13
FluospheresBeadsRobot_Experiment_Group_D2	15209	1.98	Flow Rate, Flow Signal and Flow Margin	1.24	0	0.74
FluospheresBeadsRobot_Experiment_Group_D3	4770	2.85	Flow Rate, Flow Signal and Flow Margin	2.37	0	0.48
FluospheresBeadsRobot_Experiment_Group_D4	2680	10.97	Flow Rate, Flow Signal and Flow Margin	10.34	0	0.71
FluospheresBeadsRobot_Experiment_Group_E1	131164	3.3	Flow Rate, Flow Signal and Flow Margin	0.03	0	3.27
FluospheresBeadsRobot_Experiment_Group_E2	11318	1.08	Flow Rate, Flow Signal and Flow Margin	0.34	0	0.74
FluospheresBeadsRobot_Experiment_Group_E3	6474	4.22	Flow Rate, Flow Signal and Flow Margin	3.51	0	0.79
FluospheresBeadsRobot_Experiment_Group_E4	3190	12.88	Flow Rate, Flow Signal and Flow Margin	12.45	0	0.47
FluospheresBeadsRobot_Experiment_Group_F1	128078	8.73	Flow Rate, Flow Signal and Flow Margin	5.84	0	3.09
FluospheresBeadsRobot_Experiment_Group_F2	26921	1.7	Flow Rate, Flow Signal and Flow Margin	0.64	0	1.08
FluospheresBeadsRobot_Experiment_Group_F3	8291	2.76	Flow Rate, Flow Signal and Flow Margin	2.07	0	0.69
FluospheresBeadsRobot_Experiment_Group_F4	4401	2.07	Flow Rate, Flow Signal and Flow Margin	1.5	0	0.57
FluospheresBeadsRobot_Experiment_Group_G1	128402	2.95	Flow Rate, Flow Signal and Flow Margin	0.08	0	2.87
FluospheresBeadsRobot_Experiment_Group_G2	24436	2.1	Flow Rate, Flow Signal and Flow Margin	1.08	0	1.04
FluospheresBeadsRobot_Experiment_Group_G3	7966	1.71	Flow Rate, Flow Signal and Flow Margin	1.12	0	0.59
FluospheresBeadsRobot_Experiment_Group_G4	4539	3.11	Flow Rate, Flow Signal and Flow Margin	2.49	0	0.62
FluospheresBeadsRobot_Experiment_Group_H1	92002	2.31	Flow Rate, Flow Signal and Flow Margin	0.03	0	2.28
FluospheresBeadsRobot_Experiment_Group_H2	14341	2.37	Flow Rate, Flow Signal and Flow Margin	1.7	0	0.68
FluospheresBeadsRobot_Experiment_Group_H3	4068	1.4	Flow Rate, Flow Signal and Flow Margin	0.69	0	0.71
FluospheresBeadsRobot_Experiment_Group_H4	1682	7.79	Flow Rate, Flow Signal and Flow Margin	7.25	0	0.59
FluospheresBeadsRobot_Experiment_Group_A1	120485	3.3	Flow Rate, Flow Signal and Flow Margin	0.28	0	3.03
