Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
FluospheresBeadsRobot_Experiment_Group_A1	120485	4.87	Flow Rate, Flow Signal and Flow Margin	1.92	0	3.03
FluospheresBeadsRobot_Experiment_Group_A2	33290	51.37	Flow Rate, Flow Signal and Flow Margin	50.9	0	1.29
FluospheresBeadsRobot_Experiment_Group_A3	9492	8.88	Flow Rate, Flow Signal and Flow Margin	8.27	0	0.66
FluospheresBeadsRobot_Experiment_Group_A4	4844	4.54	Flow Rate, Flow Signal and Flow Margin	4	0	0.54
FluospheresBeadsRobot_Experiment_Group_B1	120918	46.81	Flow Rate, Flow Signal and Flow Margin	45.6	0	3.08
FluospheresBeadsRobot_Experiment_Group_B2	32209	4.43	Flow Rate, Flow Signal and Flow Margin	3.48	0	1.06
FluospheresBeadsRobot_Experiment_Group_B3	11518	8.76	Flow Rate, Flow Signal and Flow Margin	8.2	0	0.62
FluospheresBeadsRobot_Experiment_Group_B4	5648	46.53	Flow Rate, Flow Signal and Flow Margin	46.3	0	0.5
FluospheresBeadsRobot_Experiment_Group_C1	120587	3.13	Flow Rate, Flow Signal and Flow Margin	0.05	0	3.07
FluospheresBeadsRobot_Experiment_Group_C2	32870	6.6	Flow Rate, Flow Signal and Flow Margin	5.73	0	0.98
FluospheresBeadsRobot_Experiment_Group_C3	10476	29.21	Flow Rate, Flow Signal and Flow Margin	28.77	0	0.68
FluospheresBeadsRobot_Experiment_Group_C4	2845	0.63	Flow Rate, Flow Signal and Flow Margin	0.04	0	0.6
FluospheresBeadsRobot_Experiment_Group_D1	90269	2.71	Flow Rate, Flow Signal and Flow Margin	0.59	0	2.13
FluospheresBeadsRobot_Experiment_Group_D2	15209	7.13	Flow Rate, Flow Signal and Flow Margin	6.44	0	0.74
FluospheresBeadsRobot_Experiment_Group_D3	4770	2.03	Flow Rate, Flow Signal and Flow Margin	1.55	0	0.48
FluospheresBeadsRobot_Experiment_Group_D4	2680	4.78	Flow Rate, Flow Signal and Flow Margin	4.07	0	0.71
FluospheresBeadsRobot_Experiment_Group_E1	131164	8.35	Flow Rate, Flow Signal and Flow Margin	5.36	0	3.27
FluospheresBeadsRobot_Experiment_Group_E2	11318	4.11	Flow Rate, Flow Signal and Flow Margin	3.38	0	0.74
FluospheresBeadsRobot_Experiment_Group_E3	6474	2.29	Flow Rate, Flow Signal and Flow Margin	1.51	0	0.79
FluospheresBeadsRobot_Experiment_Group_E4	3190	7.12	Flow Rate, Flow Signal and Flow Margin	6.68	0	0.47
FluospheresBeadsRobot_Experiment_Group_F1	128078	31.13	Flow Rate, Flow Signal and Flow Margin	29.26	0	3.09
FluospheresBeadsRobot_Experiment_Group_F2	26921	2.93	Flow Rate, Flow Signal and Flow Margin	1.88	0	1.08
FluospheresBeadsRobot_Experiment_Group_F3	8291	3.92	Flow Rate, Flow Signal and Flow Margin	3.26	0	0.69
FluospheresBeadsRobot_Experiment_Group_F4	4401	3.07	Flow Rate, Flow Signal and Flow Margin	2.5	0	0.57
FluospheresBeadsRobot_Experiment_Group_G1	128402	3.6	Flow Rate, Flow Signal and Flow Margin	0.73	0	2.87
FluospheresBeadsRobot_Experiment_Group_G2	24436	3.92	Flow Rate, Flow Signal and Flow Margin	2.94	0	1.04
FluospheresBeadsRobot_Experiment_Group_G3	7966	7.46	Flow Rate, Flow Signal and Flow Margin	6.9	0	0.59
FluospheresBeadsRobot_Experiment_Group_G4	4539	2.07	Flow Rate, Flow Signal and Flow Margin	1.45	0	0.62
FluospheresBeadsRobot_Experiment_Group_H1	92002	2.31	Flow Rate, Flow Signal and Flow Margin	0.03	0	2.28
FluospheresBeadsRobot_Experiment_Group_H2	14341	15.59	Flow Rate, Flow Signal and Flow Margin	15.01	0	0.68
FluospheresBeadsRobot_Experiment_Group_H3	4068	35.87	Flow Rate, Flow Signal and Flow Margin	35.4	0	0.71
FluospheresBeadsRobot_Experiment_Group_H4	1682	44.65	Flow Rate, Flow Signal and Flow Margin	44.41	0	0.59
