Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
FluospheresBeadsRobot_Experiment_Group_A1	120485	5.26	Flow Rate, Flow Signal and Flow Margin	2.26	0	3.03
FluospheresBeadsRobot_Experiment_Group_A2	33290	3.27	Flow Rate, Flow Signal and Flow Margin	1.98	0	1.29
FluospheresBeadsRobot_Experiment_Group_A3	9492	0.66	Flow Rate, Flow Signal and Flow Margin	0	0	0.66
FluospheresBeadsRobot_Experiment_Group_A4	4844	0.54	Flow Rate, Flow Signal and Flow Margin	0	0	0.54
FluospheresBeadsRobot_Experiment_Group_B1	120918	4.56	Flow Rate, Flow Signal and Flow Margin	1.49	0	3.08
FluospheresBeadsRobot_Experiment_Group_B2	32209	3.41	Flow Rate, Flow Signal and Flow Margin	2.34	0	1.06
FluospheresBeadsRobot_Experiment_Group_B3	11518	0.62	Flow Rate, Flow Signal and Flow Margin	0	0	0.62
FluospheresBeadsRobot_Experiment_Group_B4	5648	0.5	Flow Rate, Flow Signal and Flow Margin	0	0	0.5
FluospheresBeadsRobot_Experiment_Group_C1	120587	5.27	Flow Rate, Flow Signal and Flow Margin	2.22	0	3.07
FluospheresBeadsRobot_Experiment_Group_C2	32870	4.18	Flow Rate, Flow Signal and Flow Margin	3.2	0	0.98
FluospheresBeadsRobot_Experiment_Group_C3	10476	0.68	Flow Rate, Flow Signal and Flow Margin	0	0	0.68
FluospheresBeadsRobot_Experiment_Group_C4	2845	0.6	Flow Rate, Flow Signal and Flow Margin	0	0	0.6
FluospheresBeadsRobot_Experiment_Group_D1	90269	2.94	Flow Rate, Flow Signal and Flow Margin	0.82	0	2.13
FluospheresBeadsRobot_Experiment_Group_D2	15209	5.88	Flow Rate, Flow Signal and Flow Margin	5.14	0	0.74
FluospheresBeadsRobot_Experiment_Group_D3	4770	0.48	Flow Rate, Flow Signal and Flow Margin	0	0	0.48
FluospheresBeadsRobot_Experiment_Group_D4	2680	0.71	Flow Rate, Flow Signal and Flow Margin	0	0	0.71
FluospheresBeadsRobot_Experiment_Group_E1	131164	3.5	Flow Rate, Flow Signal and Flow Margin	0.24	0	3.27
FluospheresBeadsRobot_Experiment_Group_E2	11318	0.74	Flow Rate, Flow Signal and Flow Margin	0	0	0.74
FluospheresBeadsRobot_Experiment_Group_E3	6474	0.79	Flow Rate, Flow Signal and Flow Margin	0	0	0.79
FluospheresBeadsRobot_Experiment_Group_E4	3190	0.47	Flow Rate, Flow Signal and Flow Margin	0	0	0.47
FluospheresBeadsRobot_Experiment_Group_F1	128078	3.29	Flow Rate, Flow Signal and Flow Margin	0.2	0	3.09
FluospheresBeadsRobot_Experiment_Group_F2	26921	2.31	Flow Rate, Flow Signal and Flow Margin	1.24	0	1.08
FluospheresBeadsRobot_Experiment_Group_F3	8291	0.69	Flow Rate, Flow Signal and Flow Margin	0	0	0.69
FluospheresBeadsRobot_Experiment_Group_F4	4401	0.57	Flow Rate, Flow Signal and Flow Margin	0	0	0.57
FluospheresBeadsRobot_Experiment_Group_G1	128402	3.23	Flow Rate, Flow Signal and Flow Margin	0.36	0	2.87
FluospheresBeadsRobot_Experiment_Group_G2	24436	1.92	Flow Rate, Flow Signal and Flow Margin	0.87	0	1.04
FluospheresBeadsRobot_Experiment_Group_G3	7966	0.59	Flow Rate, Flow Signal and Flow Margin	0	0	0.59
FluospheresBeadsRobot_Experiment_Group_G4	4539	0.62	Flow Rate, Flow Signal and Flow Margin	0	0	0.62
FluospheresBeadsRobot_Experiment_Group_H1	92002	2.93	Flow Rate, Flow Signal and Flow Margin	0.65	0	2.28
FluospheresBeadsRobot_Experiment_Group_H2	14341	3.56	Flow Rate, Flow Signal and Flow Margin	2.87	0	0.68
FluospheresBeadsRobot_Experiment_Group_H3	4068	0.71	Flow Rate, Flow Signal and Flow Margin	0	0	0.71
FluospheresBeadsRobot_Experiment_Group_H4	1682	0.59	Flow Rate, Flow Signal and Flow Margin	0	0	0.59
