Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
FluospheresBeadsRobot_Experiment_Group_A1	79320	5.69	Flow Rate, Flow Signal and Flow Margin	3.63	0	2.17
FluospheresBeadsRobot_Experiment_Group_A2	22673	3.17	Flow Rate, Flow Signal and Flow Margin	2.32	0	0.87
FluospheresBeadsRobot_Experiment_Group_A3	6682	1.42	Flow Rate, Flow Signal and Flow Margin	0.84	0	0.6
FluospheresBeadsRobot_Experiment_Group_A4	3254	2.49	Flow Rate, Flow Signal and Flow Margin	1.94	0	0.55
FluospheresBeadsRobot_Experiment_Group_B1	80092	3.13	Flow Rate, Flow Signal and Flow Margin	0.82	0	2.32
FluospheresBeadsRobot_Experiment_Group_B2	21911	1.88	Flow Rate, Flow Signal and Flow Margin	1.15	0	0.74
FluospheresBeadsRobot_Experiment_Group_B3	7838	2.22	Flow Rate, Flow Signal and Flow Margin	1.7	0	0.52
FluospheresBeadsRobot_Experiment_Group_B4	3863	3.18	Flow Rate, Flow Signal and Flow Margin	2.74	0	0.44
FluospheresBeadsRobot_Experiment_Group_C1	80281	3.19	Flow Rate, Flow Signal and Flow Margin	0.83	0	2.39
FluospheresBeadsRobot_Experiment_Group_C2	22238	2.94	Flow Rate, Flow Signal and Flow Margin	2.14	0	0.82
FluospheresBeadsRobot_Experiment_Group_C3	7448	1.52	Flow Rate, Flow Signal and Flow Margin	0.89	0	0.64
FluospheresBeadsRobot_Experiment_Group_D1	62348	2.39	Flow Rate, Flow Signal and Flow Margin	0.73	0	1.68
FluospheresBeadsRobot_Experiment_Group_D2	10349	2.6	Flow Rate, Flow Signal and Flow Margin	1.87	0	0.74
FluospheresBeadsRobot_Experiment_Group_D3	3189	2.45	Flow Rate, Flow Signal and Flow Margin	2.04	0	0.41
FluospheresBeadsRobot_Experiment_Group_E1	88673	3.67	Flow Rate, Flow Signal and Flow Margin	1.21	0	2.49
FluospheresBeadsRobot_Experiment_Group_E2	7321	1.75	Flow Rate, Flow Signal and Flow Margin	1.01	0	0.74
FluospheresBeadsRobot_Experiment_Group_E3	4406	4.79	Flow Rate, Flow Signal and Flow Margin	4.13	0	0.77
FluospheresBeadsRobot_Experiment_Group_E4	2120	13.25	Flow Rate, Flow Signal and Flow Margin	12.88	0	0.42
FluospheresBeadsRobot_Experiment_Group_F1	89204	15.33	Flow Rate, Flow Signal and Flow Margin	13.01	0	2.74
FluospheresBeadsRobot_Experiment_Group_F2	18159	1.21	Flow Rate, Flow Signal and Flow Margin	0.42	0	0.79
FluospheresBeadsRobot_Experiment_Group_F3	5828	2.09	Flow Rate, Flow Signal and Flow Margin	1.34	0	0.75
FluospheresBeadsRobot_Experiment_Group_F4	3073	20.47	Flow Rate, Flow Signal and Flow Margin	19.98	0	0.59
FluospheresBeadsRobot_Experiment_Group_G1	87665	8.81	Flow Rate, Flow Signal and Flow Margin	6.95	0	2.05
FluospheresBeadsRobot_Experiment_Group_G2	16544	3.12	Flow Rate, Flow Signal and Flow Margin	2.43	0	0.7
FluospheresBeadsRobot_Experiment_Group_G3	5569	1.11	Flow Rate, Flow Signal and Flow Margin	0.48	0	0.63
FluospheresBeadsRobot_Experiment_Group_G4	3149	3.62	Flow Rate, Flow Signal and Flow Margin	2.99	0	0.64
FluospheresBeadsRobot_Experiment_Group_H1	61174	2.54	Flow Rate, Flow Signal and Flow Margin	0.82	0	1.73
FluospheresBeadsRobot_Experiment_Group_H2	10051	3.22	Flow Rate, Flow Signal and Flow Margin	2.55	0	0.68
FluospheresBeadsRobot_Experiment_Group_H3	2770	1.23	Flow Rate, Flow Signal and Flow Margin	0.51	0	0.72
