Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
FluospheresBeadsRobot_Experiment_Group_A1	79320	2.53	Flow Rate, Flow Signal and Flow Margin	0.36	0	2.17
FluospheresBeadsRobot_Experiment_Group_A2	22673	15.1	Flow Rate, Flow Signal and Flow Margin	14.34	0	0.87
FluospheresBeadsRobot_Experiment_Group_A3	6682	2.81	Flow Rate, Flow Signal and Flow Margin	2.21	0	0.6
FluospheresBeadsRobot_Experiment_Group_A4	3254	0.55	Flow Rate, Flow Signal and Flow Margin	0	0	0.55
FluospheresBeadsRobot_Experiment_Group_B1	80092	3.82	Flow Rate, Flow Signal and Flow Margin	1.52	0	2.32
FluospheresBeadsRobot_Experiment_Group_B2	21911	11.95	Flow Rate, Flow Signal and Flow Margin	11.26	0	0.74
FluospheresBeadsRobot_Experiment_Group_B3	7838	3.22	Flow Rate, Flow Signal and Flow Margin	2.69	0	0.52
FluospheresBeadsRobot_Experiment_Group_B4	3863	0.44	Flow Rate, Flow Signal and Flow Margin	0	0	0.44
FluospheresBeadsRobot_Experiment_Group_C1	80281	3.28	Flow Rate, Flow Signal and Flow Margin	0.9	0	2.39
FluospheresBeadsRobot_Experiment_Group_C2	22238	12.73	Flow Rate, Flow Signal and Flow Margin	12.01	0	0.82
FluospheresBeadsRobot_Experiment_Group_C3	7448	3.37	Flow Rate, Flow Signal and Flow Margin	2.73	0	0.64
FluospheresBeadsRobot_Experiment_Group_D1	62348	2.27	Flow Rate, Flow Signal and Flow Margin	0.59	0	1.68
FluospheresBeadsRobot_Experiment_Group_D2	10349	19.98	Flow Rate, Flow Signal and Flow Margin	19.29	0	0.74
FluospheresBeadsRobot_Experiment_Group_D3	3189	0.41	Flow Rate, Flow Signal and Flow Margin	0	0	0.41
FluospheresBeadsRobot_Experiment_Group_E1	88673	3.66	Flow Rate, Flow Signal and Flow Margin	1.18	0	2.49
FluospheresBeadsRobot_Experiment_Group_E2	7321	2.61	Flow Rate, Flow Signal and Flow Margin	1.87	0	0.74
FluospheresBeadsRobot_Experiment_Group_E3	4406	0.77	Flow Rate, Flow Signal and Flow Margin	0	0	0.77
FluospheresBeadsRobot_Experiment_Group_E4	2120	0.42	Flow Rate, Flow Signal and Flow Margin	0	0	0.42
FluospheresBeadsRobot_Experiment_Group_F1	89204	5.56	Flow Rate, Flow Signal and Flow Margin	2.87	0	2.74
FluospheresBeadsRobot_Experiment_Group_F2	18159	11	Flow Rate, Flow Signal and Flow Margin	10.23	0	0.79
FluospheresBeadsRobot_Experiment_Group_F3	5828	2.51	Flow Rate, Flow Signal and Flow Margin	1.77	0	0.75
FluospheresBeadsRobot_Experiment_Group_F4	3073	0.59	Flow Rate, Flow Signal and Flow Margin	0	0	0.59
FluospheresBeadsRobot_Experiment_Group_G1	87665	2.68	Flow Rate, Flow Signal and Flow Margin	0.63	0	2.05
FluospheresBeadsRobot_Experiment_Group_G2	16544	10.38	Flow Rate, Flow Signal and Flow Margin	9.71	0	0.7
FluospheresBeadsRobot_Experiment_Group_G3	5569	1.42	Flow Rate, Flow Signal and Flow Margin	0.79	0	0.63
FluospheresBeadsRobot_Experiment_Group_G4	3149	0.64	Flow Rate, Flow Signal and Flow Margin	0	0	0.64
FluospheresBeadsRobot_Experiment_Group_H1	61174	2.42	Flow Rate, Flow Signal and Flow Margin	0.69	0	1.73
FluospheresBeadsRobot_Experiment_Group_H2	10051	5.18	Flow Rate, Flow Signal and Flow Margin	4.51	0	0.68
FluospheresBeadsRobot_Experiment_Group_H3	2770	0.72	Flow Rate, Flow Signal and Flow Margin	0	0	0.72
