Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
FluospheresBeadsRobot_Experiment_Group_A1	79320	4.59	Flow Rate, Flow Signal and Flow Margin	2.44	0	2.17
FluospheresBeadsRobot_Experiment_Group_A2	22673	2.76	Flow Rate, Flow Signal and Flow Margin	1.89	0	0.87
FluospheresBeadsRobot_Experiment_Group_A3	6682	0.6	Flow Rate, Flow Signal and Flow Margin	0	0	0.6
FluospheresBeadsRobot_Experiment_Group_A4	3254	0.55	Flow Rate, Flow Signal and Flow Margin	0	0	0.55
FluospheresBeadsRobot_Experiment_Group_B1	80092	3.65	Flow Rate, Flow Signal and Flow Margin	1.33	0	2.32
FluospheresBeadsRobot_Experiment_Group_B2	21911	2.95	Flow Rate, Flow Signal and Flow Margin	2.21	0	0.74
FluospheresBeadsRobot_Experiment_Group_B3	7838	0.52	Flow Rate, Flow Signal and Flow Margin	0	0	0.52
FluospheresBeadsRobot_Experiment_Group_B4	3863	0.44	Flow Rate, Flow Signal and Flow Margin	0	0	0.44
FluospheresBeadsRobot_Experiment_Group_C1	80281	5.43	Flow Rate, Flow Signal and Flow Margin	3.08	0	2.39
FluospheresBeadsRobot_Experiment_Group_C2	22238	3.72	Flow Rate, Flow Signal and Flow Margin	2.9	0	0.82
FluospheresBeadsRobot_Experiment_Group_C3	7448	0.64	Flow Rate, Flow Signal and Flow Margin	0	0	0.64
FluospheresBeadsRobot_Experiment_Group_D1	62348	2.57	Flow Rate, Flow Signal and Flow Margin	0.9	0	1.68
FluospheresBeadsRobot_Experiment_Group_D2	10349	0.81	Flow Rate, Flow Signal and Flow Margin	0.07	0	0.74
FluospheresBeadsRobot_Experiment_Group_D3	3189	0.41	Flow Rate, Flow Signal and Flow Margin	0	0	0.41
FluospheresBeadsRobot_Experiment_Group_E1	88673	5.61	Flow Rate, Flow Signal and Flow Margin	3.15	0	2.49
FluospheresBeadsRobot_Experiment_Group_E2	7321	0.74	Flow Rate, Flow Signal and Flow Margin	0	0	0.74
FluospheresBeadsRobot_Experiment_Group_E3	4406	0.77	Flow Rate, Flow Signal and Flow Margin	0	0	0.77
FluospheresBeadsRobot_Experiment_Group_E4	2120	0.42	Flow Rate, Flow Signal and Flow Margin	0	0	0.42
FluospheresBeadsRobot_Experiment_Group_F1	89204	4.98	Flow Rate, Flow Signal and Flow Margin	2.27	0	2.74
FluospheresBeadsRobot_Experiment_Group_F2	18159	2.01	Flow Rate, Flow Signal and Flow Margin	1.22	0	0.79
FluospheresBeadsRobot_Experiment_Group_F3	5828	0.75	Flow Rate, Flow Signal and Flow Margin	0	0	0.75
FluospheresBeadsRobot_Experiment_Group_F4	3073	0.59	Flow Rate, Flow Signal and Flow Margin	0	0	0.59
FluospheresBeadsRobot_Experiment_Group_G1	87665	4.97	Flow Rate, Flow Signal and Flow Margin	2.94	0	2.05
FluospheresBeadsRobot_Experiment_Group_G2	16544	1.51	Flow Rate, Flow Signal and Flow Margin	0.82	0	0.7
FluospheresBeadsRobot_Experiment_Group_G3	5569	0.63	Flow Rate, Flow Signal and Flow Margin	0	0	0.63
FluospheresBeadsRobot_Experiment_Group_G4	3149	0.64	Flow Rate, Flow Signal and Flow Margin	0	0	0.64
FluospheresBeadsRobot_Experiment_Group_H1	61174	2.66	Flow Rate, Flow Signal and Flow Margin	0.94	0	1.73
FluospheresBeadsRobot_Experiment_Group_H2	10051	2.95	Flow Rate, Flow Signal and Flow Margin	2.28	0	0.68
FluospheresBeadsRobot_Experiment_Group_H3	2770	0.72	Flow Rate, Flow Signal and Flow Margin	0	0	0.72
