Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
YGbeads_001_20190913_200825	98892	14.85	Flow Rate, Flow Signal and Flow Margin	14.85	0	0
YGbeads_002_20190913_200923	97164	2.95	Flow Rate, Flow Signal and Flow Margin	2.95	0	0
YGbeads_003_20190913_201021	99054	10.12	Flow Rate, Flow Signal and Flow Margin	10.12	0	0
YGbeads_004_20190913_201117	98992	10.08	Flow Rate, Flow Signal and Flow Margin	10.08	0	0
YGbeads_005_20190913_201215	98931	5.12	Flow Rate, Flow Signal and Flow Margin	5.12	0	0
YGbeads_006_20190913_201312	97413	6.14	Flow Rate, Flow Signal and Flow Margin	6.14	0	0
YGbeads_007_20190913_201408	98675	12.53	Flow Rate, Flow Signal and Flow Margin	12.53	0	0
YGbeads_008_20190913_201504	98985	5.31	Flow Rate, Flow Signal and Flow Margin	5.31	0	0
YGbeads_009_20190913_201644	46229	2.25	Flow Rate, Flow Signal and Flow Margin	2.25	0	0
YGbeads_010_20190913_201822	54690	2.78	Flow Rate, Flow Signal and Flow Margin	2.78	0	0
YGbeads_011_20190913_202001	58431	2.69	Flow Rate, Flow Signal and Flow Margin	2.69	0	0
YGbeads_012_20190913_202141	29607	1.18	Flow Rate, Flow Signal and Flow Margin	1.18	0	0
YGbeads_013_20190913_202320	49278	4.16	Flow Rate, Flow Signal and Flow Margin	4.16	0	0
YGbeads_014_20190913_202458	35858	2.23	Flow Rate, Flow Signal and Flow Margin	2.23	0	0
YGbeads_015_20190913_202637	44084	1.62	Flow Rate, Flow Signal and Flow Margin	1.62	0	0
YGbeads_016_20190913_202816	32068	3.01	Flow Rate, Flow Signal and Flow Margin	3.01	0	0
YGbeads_017_20190913_202955	11970	1.37	Flow Rate, Flow Signal and Flow Margin	1.37	0	0
YGbeads_018_20190913_203133	8035	6.36	Flow Rate, Flow Signal and Flow Margin	6.36	0	0
YGbeads_019_20190913_203311	17303	4.9	Flow Rate, Flow Signal and Flow Margin	4.9	0	0
YGbeads_020_20190913_203450	4399	1.32	Flow Rate, Flow Signal and Flow Margin	1.32	0	0
YGbeads_021_20190913_203628	13066	6.44	Flow Rate, Flow Signal and Flow Margin	6.44	0	0
YGbeads_022_20190913_203807	7053	5.29	Flow Rate, Flow Signal and Flow Margin	5.29	0	0
YGbeads_023_20190913_203945	10227	0.33	Flow Rate, Flow Signal and Flow Margin	0.33	0	0
YGbeads_024_20190913_204124	3224	13.28	Flow Rate, Flow Signal and Flow Margin	13.28	0	0
YGbeads_025_20190913_204303	3205	9.95	Flow Rate, Flow Signal and Flow Margin	9.95	0	0
YGbeads_026_20190913_204441	2131	8.73	Flow Rate, Flow Signal and Flow Margin	8.73	0	0
YGbeads_027_20190913_204620	5832	4.51	Flow Rate, Flow Signal and Flow Margin	4.51	0	0
YGbeads_029_20190913_204937	6295	3.97	Flow Rate, Flow Signal and Flow Margin	3.97	0	0
YGbeads_030_20190913_205115	2015	5.31	Flow Rate, Flow Signal and Flow Margin	5.31	0	0
YGbeads_031_20190913_205254	5123	1.66	Flow Rate, Flow Signal and Flow Margin	1.66	0	0
YGbeads_001_20190913_200825	98892	14.85	Flow Rate, Flow Signal and Flow Margin	14.85	0	0
YGbeads_002_20190913_200923	97164	2.95	Flow Rate, Flow Signal and Flow Margin	2.95	0	0
YGbeads_003_20190913_201021	99054	10.12	Flow Rate, Flow Signal and Flow Margin	10.12	0	0
YGbeads_004_20190913_201117	98992	10.08	Flow Rate, Flow Signal and Flow Margin	10.08	0	0
YGbeads_005_20190913_201215	98931	5.12	Flow Rate, Flow Signal and Flow Margin	5.12	0	0
YGbeads_006_20190913_201312	97413	6.14	Flow Rate, Flow Signal and Flow Margin	6.14	0	0
YGbeads_007_20190913_201408	98675	12.53	Flow Rate, Flow Signal and Flow Margin	12.53	0	0
YGbeads_008_20190913_201504	98985	5.31	Flow Rate, Flow Signal and Flow Margin	5.31	0	0
YGbeads_009_20190913_201644	46229	2.25	Flow Rate, Flow Signal and Flow Margin	2.25	0	0
YGbeads_010_20190913_201822	54690	2.78	Flow Rate, Flow Signal and Flow Margin	2.78	0	0
YGbeads_011_20190913_202001	58431	2.69	Flow Rate, Flow Signal and Flow Margin	2.69	0	0
YGbeads_012_20190913_202141	29607	1.18	Flow Rate, Flow Signal and Flow Margin	1.18	0	0
YGbeads_013_20190913_202320	49278	4.16	Flow Rate, Flow Signal and Flow Margin	4.16	0	0
YGbeads_014_20190913_202458	35858	2.23	Flow Rate, Flow Signal and Flow Margin	2.23	0	0
YGbeads_015_20190913_202637	44084	1.62	Flow Rate, Flow Signal and Flow Margin	1.62	0	0
YGbeads_016_20190913_202816	32068	3.01	Flow Rate, Flow Signal and Flow Margin	3.01	0	0
YGbeads_017_20190913_202955	11970	1.37	Flow Rate, Flow Signal and Flow Margin	1.37	0	0
YGbeads_018_20190913_203133	8035	6.36	Flow Rate, Flow Signal and Flow Margin	6.36	0	0
YGbeads_019_20190913_203311	17303	4.9	Flow Rate, Flow Signal and Flow Margin	4.9	0	0
YGbeads_020_20190913_203450	4399	1.32	Flow Rate, Flow Signal and Flow Margin	1.32	0	0
YGbeads_021_20190913_203628	13066	6.44	Flow Rate, Flow Signal and Flow Margin	6.44	0	0
YGbeads_022_20190913_203807	7053	5.29	Flow Rate, Flow Signal and Flow Margin	5.29	0	0
YGbeads_023_20190913_203945	10227	0.33	Flow Rate, Flow Signal and Flow Margin	0.33	0	0
YGbeads_024_20190913_204124	3224	13.28	Flow Rate, Flow Signal and Flow Margin	13.28	0	0
YGbeads_025_20190913_204303	3205	9.95	Flow Rate, Flow Signal and Flow Margin	9.95	0	0
YGbeads_026_20190913_204441	2131	8.73	Flow Rate, Flow Signal and Flow Margin	8.73	0	0
YGbeads_027_20190913_204620	5832	4.51	Flow Rate, Flow Signal and Flow Margin	4.51	0	0
YGbeads_029_20190913_204937	6295	3.97	Flow Rate, Flow Signal and Flow Margin	3.97	0	0
YGbeads_030_20190913_205115	2015	5.31	Flow Rate, Flow Signal and Flow Margin	5.31	0	0
YGbeads_031_20190913_205254	5123	1.66	Flow Rate, Flow Signal and Flow Margin	1.66	0	0
