Name file	n. of events	% anomalies	analysis from	% anomalies flow Rate	% anomalies Signal	% anomalies Margins
YGbeads_001_20190913_200825	98892	1.53	Flow Rate, Flow Signal and Flow Margin	1.53	0	0
YGbeads_002_20190913_200923	97164	1	Flow Rate, Flow Signal and Flow Margin	1	0	0
YGbeads_003_20190913_201021	99054	2.96	Flow Rate, Flow Signal and Flow Margin	2.96	0	0
YGbeads_004_20190913_201117	98992	4.76	Flow Rate, Flow Signal and Flow Margin	4.76	0	0
YGbeads_005_20190913_201215	98931	1.1	Flow Rate, Flow Signal and Flow Margin	1.1	0	0
YGbeads_006_20190913_201312	97413	0.86	Flow Rate, Flow Signal and Flow Margin	0.86	0	0
YGbeads_007_20190913_201408	98675	1.42	Flow Rate, Flow Signal and Flow Margin	1.42	0	0
YGbeads_008_20190913_201504	98985	1.21	Flow Rate, Flow Signal and Flow Margin	1.21	0	0
YGbeads_009_20190913_201644	46229	4.51	Flow Rate, Flow Signal and Flow Margin	4.51	0	0
YGbeads_010_20190913_201822	54690	1.28	Flow Rate, Flow Signal and Flow Margin	1.28	0	0
YGbeads_011_20190913_202001	58431	1.48	Flow Rate, Flow Signal and Flow Margin	1.48	0	0
YGbeads_012_20190913_202141	29607	6.89	Flow Rate, Flow Signal and Flow Margin	6.89	0	0
YGbeads_013_20190913_202320	49278	0.77	Flow Rate, Flow Signal and Flow Margin	0.77	0	0
YGbeads_014_20190913_202458	35858	0.38	Flow Rate, Flow Signal and Flow Margin	0.38	0	0
YGbeads_015_20190913_202637	44084	0.85	Flow Rate, Flow Signal and Flow Margin	0.85	0	0
YGbeads_016_20190913_202816	32068	6.86	Flow Rate, Flow Signal and Flow Margin	6.86	0	0
YGbeads_017_20190913_202955	11970	1.32	Flow Rate, Flow Signal and Flow Margin	1.32	0	0
YGbeads_018_20190913_203133	8035	0.09	Flow Rate, Flow Signal and Flow Margin	0.09	0	0
YGbeads_019_20190913_203311	17303	1.87	Flow Rate, Flow Signal and Flow Margin	1.87	0	0
YGbeads_020_20190913_203450	4399	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_021_20190913_203628	13066	1.26	Flow Rate, Flow Signal and Flow Margin	1.26	0	0
YGbeads_022_20190913_203807	7053	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_023_20190913_203945	10227	0.69	Flow Rate, Flow Signal and Flow Margin	0.69	0	0
YGbeads_024_20190913_204124	3224	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_025_20190913_204303	3205	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_026_20190913_204441	2131	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_027_20190913_204620	5832	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_029_20190913_204937	6295	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_030_20190913_205115	2015	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
YGbeads_031_20190913_205254	5123	0	Flow Rate, Flow Signal and Flow Margin	0	0	0
